,country,code,year,contributions,personal,corporate,consumption,rgdp_pc,debt_to_gdp,population,population_growth,property_rights,integrity,tax_burden,spending,business_freedom,labor_freedom,monetary_freedom,trade_freedom,investment_freedom,financial_freedom,corruption,gini
122,Italy,IT,2009,13.2,21.4,10,10.1,26590,116.6,59095367,0.004556,50,52,55.8,24.7,78.7,61.3,80.8,80.8,70,60,4.3,31.8
123,Latvia,LV,2009,9.2,14.4,2.8,10.4,8730,36.8,2141668,-0.016512,55,48,82.3,58.5,73.8,61.6,71.1,85.8,70,60,4.5,37.5
124,Lithuania,LT,2009,12.6,15.2,4,11,8720,28,3162911,-0.011106,50,48,87.6,65.3,82.4,54.6,75.8,85.8,70,80,4.9,35.9
125,Luxembourg,LU,2009,11.5,16.6,11,10.8,76900,16.1,497783,0.018524,90,84,66.3,54.4,76.2,45.1,80.2,85.8,90,80,8.2,29.2
126,Malta,MT,2009,5.7,10.7,9,12.8,15660,66.3,412475,0.007544,90,58,63.1,41.7,70,60,82.7,85.8,50,60,5.2,27.4
127,Netherlands,NL,2009,12.6,19.5,4.6,11.1,38160,56.8,16530387,0.005143,90,90,50.9,36.2,86.5,63.3,87,85.8,90,90,8.9,27.2
128,Poland,PL,2009,11.2,11.9,7.9,11.5,9070,49.8,38153389,0.000983,50,42,69,42.2,53.7,59.8,80.8,85.8,60,60,5,31.4
129,Portugal,PT,2009,8.6,12.7,6.4,10.6,16710,87.8,10568247,0.000953,70,65,61.6,35.4,81.1,40.3,79.9,85.8,70,60,5.8,35.4
130,Romania,RO,2009,9,11.1,4.4,9.7,6410,21.8,20367437,-0.008332,35,37,87,70,74.9,57.1,75,85.8,60,50,3.8,34.5
131,Slovakia,SK,2009,12.4,15,3.7,10.1,11890,36.4,5418374,0.002107,50,49,84.1,57.4,73.4,75.3,78.7,85.8,70,70,4.5,24.8
132,Slovenia,SI,2009,15.6,19.4,4.6,13.3,17570,34.5,2042335,0.009696,60,66,62.9,38.4,84.5,42.8,78.6,85.8,60,50,6.6,22.7
133,Spain,ES,2009,12,16.4,7,6.3,23100,53.3,46367550,0.008324,70,67,58.6,55.3,76.8,48.3,78.9,85.8,80,80,6.1,32.9
134,Sweden,SE,2009,2.8,25.6,5.5,12.8,38030,40.7,9298510,0.008518,90,93,35,7.3,95.9,55.5,82.1,85.8,80,80,9.2,26.3
135,Austria,AT,2010,14,23.1,6.4,11.6,35390,82.7,8361069,0.002345,90,81,51.2,28.8,73.6,79.1,79.3,87.5,75,70,7.9,28.3
136,Belgium,BE,2010,14,23.7,8.8,10.9,33330,100.3,10895589,0.009136,80,73,42.2,30,92.9,67.1,77.9,87.5,80,70,7.1,26.6
137,Bulgaria,BG,2010,6.7,8.6,3.8,13.8,5050,15.4,7395599,-0.006583,30,36,86.3,48.3,77.8,78.1,69.5,87.4,50,60,3.6,33.2
138,Croatia,HR,2010,11.8,15.1,3.8,17,10520,57.7,4296353,-0.002316,40,44,70.3,47.1,61.5,40.8,75.8,87.8,65,60,4.1,31.6
139,Cyprus,CY,2010,8,11.3,8.2,12.2,23400,56.4,829444,0.026147,80,64,72.7,44.8,80.3,61.5,82.9,82.5,70,70,6.3,30.1
140,Czechia,CZ,2010,14.5,16.7,5.1,10.8,15020,37.1,10517247,0.002452,65,52,80.1,45.6,65.5,76.4,75.6,87.5,70,80,4.6,24.9
141,Denmark,DK,2010,0.1,22.7,7.7,14.6,43840,42.6,5543819,0.004407,90,93,35.9,22,97.9,93.7,79.3,87.5,90,90,9.3,26.9
142,Estonia,EE,2010,12.6,17.6,2.3,13.1,11150,6.6,1331475,-0.002281,80,66,80.2,62.2,83.1,47,71.1,87.5,90,80,6.5,31.3
143,Finland,FI,2010,12,21.1,6.5,12.9,35080,46.9,5363341,0.004574,90,90,65.4,32.9,95,43.8,78.9,87.5,75,80,9.2,25.4
